District,PfPR_mean
Abim,0.4967319965362549
Adjumani,0.28586792945861816
Agago,0.4492602050304413
Alebtong,0.37267130613327026
Amolatar,0.2756354808807373
Amudat,0.1779797077178955
Amuria,0.40889060497283936
Amuru,0.36656755208969116
Apac,0.37258410453796387
Arua,0.23646673560142517
Budaka,0.23329566419124603
Bududa,0.19430102407932281
Bugiri,0.2873198986053467
Bugweri,0.3264037072658539
Buhweju,0.09964337944984436
Buikwe,0.17936712503433228
Bukedea,0.3196195960044861
Bukomansimbi,0.14123620092868805
Bukwo,0.08425900340080261
Bulambuli,0.24741627275943756
Buliisa,0.3172304332256317
Bundibugyo,0.16382521390914917
Bunyangabu,0.1427290141582489
Bushenyi,0.1142328679561615
Busia,0.3800728917121887
Butaleja,0.2142171412706375
Butambala,0.11542228609323502
Butebo,0.26414772868156433
Buvuma,0.2255258858203888
Buyende,0.34654536843299866
Dokolo,0.28004974126815796
Gomba,0.15815718472003937
Gulu,0.41847145557403564
Hoima,0.22241999208927155
Ibanda,0.12643980979919434
Iganga,0.34312865138053894
Isingiro,0.08860678225755692
Jinja,0.26435133814811707
Kaabong,0.3739858567714691
Kabale,0.047560811042785645
Kabarole,0.16575215756893158
Kaberamaido,0.2591004967689514
Kagadi,0.21954867243766785
Kakumiro,0.2007637619972229
Kalaki,0.29907381534576416
Kalangala,0.14657732844352722
Kaliro,0.31605687737464905
Kalungu,0.12948931753635406
Kampala,0.09309104830026627
Kamuli,0.35214632749557495
Kamwenge,0.17305557429790497
Kanungu,0.09444484114646912
Kapchorwa,0.1886083334684372
Kapelebyong,0.47789478302001953
Karenga,0.3672434985637665
Kasese,0.11687344312667847
Kassanda,0.1575411707162857
Katakwi,0.4859619140625
Kayunga,0.2919672429561615
Kazo,0.16160321235656738
Kibaale,0.2225046306848526
Kiboga,0.16064992547035217
Kibuku,0.249503955245018
Kikuube,0.21993274986743927
Kiruhura,0.12627796828746796
Kiryandongo,0.3619154691696167
Kisoro,0.07476963847875595
Kitagwenda,0.13663236796855927
Kitgum,0.42642074823379517
Koboko,0.21142740547657013
Kole,0.4443455636501312
Kotido,0.4661177694797516
Kumi,0.3818301856517792
Kwania,0.38327744603157043
Kween,0.17003025114536285
Kyankwanzi,0.1842610239982605
Kyegegwa,0.20650990307331085
Kyenjojo,0.1931486874818802
Kyotera,0.12431217730045319
Lamwo,0.3735327422618866
Lira,0.3868447244167328
Luuka,0.361828088760376
Luwero,0.20865869522094727
Lwengo,0.13755017518997192
Lyantonde,0.1460428237915039
Madi Okollo,0.26876211166381836
Manafwa,0.2206161469221115
Maracha,0.21625743806362152
Masaka,0.1248837560415268
Masindi,0.26816195249557495
Mayuge,0.32169109582901
Mbale,0.21936866641044617
Mbarara,0.09756328910589218
Mitooma,0.11177247762680054
Mityana,0.13954569399356842
Moroto,0.31781911849975586
Moyo,0.1990927755832672
Mpigi,0.11555668711662292
Mubende,0.19085700809955597
Mukono,0.17430613934993744
Nabilatuk,0.3892739415168762
Nakapiripirit,0.2937038242816925
Nakaseke,0.1873047798871994
Nakasongola,0.24592606723308563
Namayingo,0.3927464485168457
Namisindwa,0.19329363107681274
Namutumba,0.25176045298576355
Napak,0.4579804241657257
Nebbi,0.3614446520805359
Ngora,0.3589201867580414
Ntoroko,0.1670159101486206
Ntungamo,0.07508915662765503
Nwoya,0.3980729281902313
Obongi,0.2000841498374939
Omoro,0.4338521957397461
Otuke,0.41425997018814087
Oyam,0.4401627480983734
Pader,0.42644375562667847
Pakwach,0.32364845275878906
Pallisa,0.2777520716190338
Rakai,0.12138737738132477
Rubanda,0.062403321266174316
Rubirizi,0.1271798461675644
Rukiga,0.061533618718385696
Rukungiri,0.10239750891923904
Rwampara,0.07657652348279953
Serere,0.300309419631958
Sheema,0.0934688001871109
Sironko,0.2058887630701065
Soroti,0.36256104707717896
Ssembabule,0.17335012555122375
Tororo,0.21307748556137085
Wakiso,0.12223345786333084
Yumbe,0.22005468606948853
Zombo,0.33246123790740967
