SubRegion,N,He,Ho,Fis
Acholi,7806,0.1847,0.1864,-0.0092
Ankole,11874,0.0533,0.0513,0.0382
Bugishu,3018,0.1116,0.1034,0.0737
Bukedi,3420,0.1868,0.181,0.031
Bunyoro,5341,0.1352,0.129,0.0461
Busoga,7573,0.1962,0.1931,0.0161
Kampala,13566,0.1383,0.1354,0.0206
Karamoja,1286,0.1051,0.1003,0.0452
Kigezi,3972,0.0368,0.0355,0.0357
Lango,6547,0.199,0.1941,0.0244
North Buganda,12229,0.1423,0.138,0.0303
South Buganda,15452,0.1273,0.1271,0.0019
Teso,4551,0.1641,0.1597,0.0268
Tooro,9094,0.0988,0.0981,0.0074
West Nile,3911,0.1286,0.1299,-0.0104
