region,AA,AS,SS,n_ind,het_prop,p_exact,p_fdr,HWE_flag_exact,Latitude,Longitude
Acholi,6275,1455,76,7806,0.18639508070714836,0.461772695145769,0.532814648245118,FALSE,32.6139257,3.0526003
Ankole,11244,609,21,11874,0.05128852956038403,3.497225211637681e-4,0.0031237363679470186,TRUE,30.5496567,-0.4935806
Bugishu,2683,312,23,3018,0.10337972166998012,4.1649818239293583e-4,0.0031237363679470186,TRUE,34.4256812,1.2196955
Bukedi,2754,619,47,3420,0.18099415204678362,0.08107354808214719,0.14204602956788054,FALSE,33.9301621,0.8765068
Bunyoro,4607,689,45,5341,0.1290020595394121,0.0015700000733717388,0.005887500275144021,TRUE,31.4113067,1.5479928
Busoga,6007,1462,104,7573,0.1930542717549188,0.159937064042249,0.21809599642124863,FALSE,33.5227647,0.359231
Kampala,11634,1837,95,13566,0.13541205956066638,0.01825594134299036,0.05476782402897108,FALSE,32.5965846,0.3175414
Karamoja,1150,129,7,1286,0.10031104199066875,0.10870951038371983,0.16306426557557974,FALSE,34.2424069,2.7476662
Kigezi,3827,141,4,3972,0.035498489425981876,0.04902152087036652,0.11545135480757951,FALSE,29.8465339,-0.9674351
Lango,5178,1271,98,6547,0.1941347181915381,0.05387729891020377,0.11545135480757951,FALSE,32.8365693,2.1161121
North Buganda,10443,1687,99,12229,0.13795077275329135,0.0014267182360313648,0.005887500275144021,TRUE,32.5002937,0.4364581
South Buganda,13414,1964,74,15452,0.12710328760031064,0.8004539781846818,0.8004539781846818,FALSE,31.9412899,-0.3208636
Teso,3777,727,47,4551,0.15974511096462315,0.08522761774072832,0.14204602956788054,FALSE,33.6979452,1.7499266
Tooro,8174,892,28,9094,0.09808665053881681,0.4574751485448354,0.532814648245118,FALSE,30.398117,0.4574932
West Nile,3387,508,16,3911,0.12989005369470724,0.6181915740164738,0.6623481150176506,FALSE,31.3339634,3.1078205
