SubRegion,Latitude,Longitude,PfPR_mean
Acholi,32.6139257,3.0526003,0.406789899
Ankole,30.5496567,-0.4935806,0.109400876
Bugishu,34.4256812,1.2196955,0.195683822
Bukedi,33.9301621,0.8765068,0.260739625
Bunyoro,31.4113067,1.5479928,0.267766267
Busoga,33.5227647,0.359231,0.325311244
Kampala,32.5965846,0.3175414,0.093066439
Karamoja,34.2424069,2.7476662,0.394526541
Kigezi,29.8465339,-0.9674351,0.093809433
Lango,32.8365693,2.1161121,0.378164709
North Buganda,32.5002937,0.4364581,0.196787491
South Buganda,31.9412899,-0.3208636,0.137405932
Teso,33.6979452,1.7499266,0.380801946
Tooro,30.398117,0.4574932,0.165108636
West Nile,31.3339634,3.1078205,0.260583669
