SubRegion,Acholi,Ankole,Bugishu,Bukedi,Bunyoro,Busoga,Kampala,Karamoja,Kigezi,Lango,North Buganda,South Buganda,Teso,Tooro,West Nile
Acholi,NA,0.051272601385451005,0.011335724397813602,-9.625588033897273e-5,0.005362102617215294,2.1664768850756773e-4,0.005055880288504028,0.012534916441610798,0.049847553004799545,3.625008061951779e-4,0.0041418724531283235,0.00804999370517882,8.275353777528574e-4,0.0182453818388415,0.006782577940746121
Ankole,0.051272601385451005,NA,0.015275032026813863,0.06618414590558346,0.02556792036225348,0.059205855090678786,0.022140984759097596,0.01320775959933021,0.001434274138385254,0.06374052690297582,0.024394273870352,0.017258265193866886,0.04474075905803067,0.008239519133360374,0.023426166078330268
Bugishu,0.011335724397813602,0.015275032026813863,NA,0.012986878132755304,0.0013246613516476162,0.014742924876998829,0.0016702604974974092,-1.6977171954220496e-4,0.02309847970624743,0.01583757687945543,0.0022038714992103914,5.529461706746321e-4,0.006477403267248287,3.933107823613256e-4,6.299540888215591e-4
Bukedi,-9.625588033897273e-5,0.06618414590558346,0.012986878132755304,NA,0.0061490620150707245,7.92217810700561e-5,0.005764242333670809,0.013914341102956,0.06425843620686232,1.9775383311360664e-4,0.0047374764417873975,0.009156352349144916,0.0010010812523193876,0.021533300774167284,0.007759274317204867
Bunyoro,0.005362102617215294,0.02556792036225348,0.0013246613516476162,0.0061490620150707245,NA,0.008004665716661518,-4.3921909610260874e-5,0.00206418179398655,0.030398451790501914,0.008813350831371558,5.2973924997783545e-5,9.8687742421768e-5,0.0018997646053074862,0.003764096014498744,1.0396503364103595e-6
Busoga,2.1664768850756773e-4,0.059205855090678786,0.014742924876998829,7.92217810700561e-5,0.008004665716661518,NA,0.007833615280572536,0.015841474192108837,0.05582526940634788,-5.6654090565139925e-5,0.006662542645597516,0.011531075494955122,0.002090818221733909,0.023020650590230722,0.009621914748235696
Kampala,0.005055880288504028,0.022140984759097596,0.0016702604974974092,0.005764242333670809,-4.3921909610260874e-5,0.007833615280572536,NA,0.0024737339960693803,0.026359047111038827,0.008683132037437022,-4.7634891413445217e-8,2.711227579657135e-4,0.0015802136919012366,0.004103294294334753,1.5293499634491553e-4
Karamoja,0.012534916441610798,0.01320775959933021,-1.6977171954220496e-4,0.013914341102956,0.00206418179398655,0.015841474192108837,0.0024737339960693803,NA,0.024488266061262445,0.016824885185592865,0.003092234773644515,0.0010795769186736366,0.007606863218485352,-1.0327962436376244e-4,0.0012109014539851309
Kigezi,0.049847553004799545,0.001434274138385254,0.02309847970624743,0.06425843620686232,0.030398451790501914,0.05582526940634788,0.026359047111038827,0.024488266061262445,NA,0.05932142359763942,0.028300636189277657,0.022015542892760784,0.04632960916345607,0.013641394923286785,0.02967209538182727
Lango,3.625008061951779e-4,0.06374052690297582,0.01583757687945543,1.9775383311360664e-4,0.008813350831371558,-5.6654090565139925e-5,0.008683132037437022,0.016824885185592865,0.05932142359763942,NA,0.007428788286990547,0.012626545592997824,0.002479955961713313,0.02480704999817373,0.010494814363765868
North Buganda,0.0041418724531283235,0.024394273870352,0.0022038714992103914,0.0047374764417873975,5.2973924997783545e-5,0.006662542645597516,-4.7634891413445217e-8,0.003092234773644515,0.028300636189277657,0.007428788286990547,NA,5.315851898460735e-4,0.0010843336639859609,0.004956606095860979,3.7833401993432733e-4
South Buganda,0.00804999370517882,0.017258265193866886,5.529461706746321e-4,0.009156352349144916,9.8687742421768e-5,0.011531075494955122,2.711227579657135e-4,0.0010795769186736366,0.022015542892760784,0.012626545592997824,5.315851898460735e-4,NA,0.0034371817494379888,0.002203800417742461,-7.626902887520904e-5
Teso,8.275353777528574e-4,0.04474075905803067,0.006477403267248287,0.0010010812523193876,0.0018997646053074862,0.002090818221733909,0.0015802136919012366,0.007606863218485352,0.04632960916345607,0.002479955961713313,0.0010843336639859609,0.0034371817494379888,NA,0.011797361546648828,0.002903902570293644
Tooro,0.0182453818388415,0.008239519133360374,3.933107823613256e-4,0.021533300774167284,0.003764096014498744,0.023020650590230722,0.004103294294334753,-1.0327962436376244e-4,0.013641394923286785,0.02480704999817373,0.004956606095860979,0.002203800417742461,0.011797361546648828,NA,0.0025566945369878283
West Nile,0.006782577940746121,0.023426166078330268,6.299540888215591e-4,0.007759274317204867,1.0396503364103595e-6,0.009621914748235696,1.5293499634491553e-4,0.0012109014539851309,0.02967209538182727,0.010494814363765868,3.7833401993432733e-4,-7.626902887520904e-5,0.002903902570293644,0.0025566945369878283,NA
