SubRegion,PfPR2_10_mean_2015_2024,Latitude,Longitude
Acholi,0.406789899,32.6139257,3.0526003
Ankole,0.109400876,30.5496567,-0.4935806
Bugishu,0.195683822,34.4256812,1.2196955
Bukedi,0.260739625,33.9301621,0.8765068
Bunyoro,0.267766267,31.4113067,1.5479928
Busoga,0.325311244,33.5227647,0.359231
Kampala,0.093066439,32.5965846,0.3175414
Karamoja,0.394526541,34.2424069,2.7476662
Kigezi,0.093809433,29.8465339,-0.9674351
Lango,0.378164709,32.8365693,2.1161121
North Buganda,0.196787491,32.5002937,0.4364581
South Buganda,0.137405932,31.9412899,-0.3208636
Teso,0.380801946,33.6979452,1.7499266
Tooro,0.165108636,30.398117,0.4574932
West Nile,0.260583669,31.3339634,3.1078205
