SubRegion,Longitude,Latitude,malaria,slope_logit_per10,slope_se,OR_per10,OR_low95,OR_high95
Acholi,32.743744639625355,3.05385905,0.4067898988723755,0.1870610360401141,0.05856198095183316,1.2057008740110242,1.0749558095878127,1.3523482403880107
Ankole,30.543770398703074,-0.4896288999999999,0.10940087586641312,0.18705926593280103,0.05856213464611999,1.2056987397929786,1.0749535829824284,1.3523462539704283
Bukedi,34.0326980702562,0.7687975499999999,0.26073962450027466,0.18705976593465337,0.0585604585286187,1.2056993426447327,1.0749576518959985,1.3523424874365062
Bunyoro,31.358131736173156,1.50279665,0.2677662670612335,0.1870603057614295,0.05856097664895914,1.2056999935136974,1.0749571405504916,1.3523445907940812
Busoga,33.66945845083539,0.24150134999999998,0.32531124353408813,0.18705951082066669,0.05856029165927589,1.2056990350540058,1.074957729239124,1.352341700132828
Kampala,32.58587955473318,0.31151569999999995,0.09306643903255464,0.18705961310525546,0.05856012293824114,1.2056991583784422,1.0749581946720754,1.3523413912463356
Karamoja,34.19157599399503,2.7850309500000003,0.39452654123306274,0.18706080519858795,0.05856217544473939,1.2057005956852265,1.0749551516638665,1.3523484437332876
Kigezi,29.79898542600899,-0.90378015,0.09380943328142166,0.18705906613601397,0.05856378885646887,1.2056984988982684,1.0749498829458148,1.3523503684299811
Lango,32.82240340947075,2.0468534,0.37816470861434937,0.18706051037539867,0.05856069343666916,1.205700240216784,1.0749579572065528,1.3523441168215662
North Buganda,31.928678226795917,0.3388829,0.196787491440773,0.1870596616350138,0.05856036247778129,1.2056992168907323,1.0749577421494485,1.3523420917962183
South Buganda,31.9099820716787,-0.20751255,0.13740593194961548,0.18705936819639368,0.05856058026663061,1.2056988630920698,1.074956967852544,1.352342272235888
Teso,33.661429775526905,1.78987585,0.3808019459247589,0.18706032338988485,0.05856067728876725,1.2057000147683261,1.0749577902272986,1.3523438211512995
Tooro,30.60635831571173,0.5477415999999999,0.16510863602161407,0.18705982686199207,0.05856158555464895,1.2056994161047871,1.0749553428424874,1.3523455571199818
West Nile,31.360109250566566,2.9920725499999996,0.26058366894721985,0.18706108156244067,0.05856252885598825,1.2057009288973344,1.0749547041362715,1.3523497542270475
